REGION,ID,regionid,diffei.abs,population08,logpop08,protest.density08,petrovscore03,comp03,protestsum2007,protestsum2008,protests2011,protest.density,regionalsecond,competitive,nsdifference1103,urban2010,agemploy2010,KPRFleadership,KPRFViceSpeaker,KPRFcommittees,protestbin0711,protesttotal0711,percentmargin,govpop2010,govpopdiff,petrovdem,model2slope,fullfraudscore,samplefraudscore,dichfraud,RUSSIAN,GOVEMPLOY2010,INCOME2010,logincome,POPULATION2010,logpop,POVERTY2010,PENSION2010,INTERNET2010,HIGHERED2010,NEWSPAPER2010,CONCENTRATION2010,concentrationshort,AG2010,nonstandardei,standardei,diffei,TV2010
Altai Krai,2,2,-0.070761661,24.54,7.805474625,0.244498778,25,NA,4,6,42,1.736254651,0.254,0.8559,0.023799851,54.7,18.2,0,0,0,34,87,0.069709833,32,-1.44,32,0.97,0,0,0,0.939,1.3009,109.26,4.693730363,24.19,3.185939325,0.243,2.929,0.702,1.71,6.55,0.13,0.074236,18.2,0.6479,0.3471,0.3008,100
Amur Oblast,3,3,0.00696329,8.44,6.738152495,0.947867299,26,0.767,7,8,4,0.482509047,0.2129,0.7707,0.039824289,66.7,6.4,0,0,0,24,34,0.143848357,12,-21.44,27,1.063,0,0,0,0.943,1.5507,140.64,4.946203434,8.29,2.115049969,0.243,2.754,0.688,1.84,3.46,0.1,0.048682,6.4,0.6043,0.4177,0.1866,100
Arkhangelsk Oblast,4,4,0.761893576,12.57,7.136483209,0.238663484,37,0.846,2,3,5,0.407166124,0.1784,0.6599,0.015041506,75.6,3,1,0,1,22,30,0.061293394,33,-0.44,37,1.095,0,1,0,0.956,1.3901,193.101,5.263213368,12.28,2.507971923,0.143,3.444,0.874,1.71,21.6,0.2,0.123999,3,0.7151,0.2829,0.4322,96.1
Astrakhan Oblast,5,5,0.267184555,10.06,6.913737351,0.198807157,27,0.242,3,2,10,0.989119683,0.1592,0.6338,0.042900676,66.7,8.9,1,1,0,23,27,0.270267901,31,-2.44,27,1.588,1,0,1,0.676,1.3217,146.405,4.986376754,10.11,2.313525033,0.142,2.395,0.768,1.81,3.87,0.11,0.059749,8.9,0.648,0.5937,0.0543,98.8
Belgorod Oblast,6,6,-0.159813134,15.2,7.326465614,0.460526316,25,0.663,4,7,16,1.043705153,0.1768,0.5148,0.010440145,66.1,12.7,0,0,0,35,62,0.2300386,41,7.56,22,1.73,0,0,0,0.944,1.2695,168.387,5.126264902,15.33,2.729811693,0.084,3.073,0.858,2.09,10.05,0.13,0.086446,12.7,0.8665,0.4642,0.4023,99.6
Bryansk Oblast,7,7,-0.32266916,13.03,7.172424577,0.230237913,28,0.92,2,3,4,0.312989045,0.2368,0.6979,0.067915623,69.1,10.8,0,0,0,17,20,0.164082595,46,12.56,25,1.263,0,0,0,0.967,1.2814,132.98,4.890198741,12.78,2.547881449,0.136,3.192,0.694,1.8,3.87,0.1,0.054604,10.8,0.7505,0.4604,0.2901,91.8
Vladimir Oblast,8,8,0.647269931,14.67,7.290974778,0.408997955,32,0.504,4,6,8,0.553633218,0.2775,0.7648,0.043607659,77.6,5.5,1,1,1,20,25,0.096911239,21,-12.44,32,1.009,0,0,0,0.956,1.0228,124.243,4.822239325,14.45,2.670694415,0.183,3.148,0.879,1.91,2.48,0.16,0.104278,5.5,0.7654,0.2745,0.4909,83.2
Volgograd Oblast,9,9,0.662079883,26.23,7.87207398,0.304994281,32,0.916,4,8,18,0.689391038,0.2357,0.7412,0.059241768,76,10,0,0,0,35,62,0.069575056,NA,NA,32,1.468,0,0,0,0.9,1.0631,141.221,4.950326039,26.11,3.262318383,0.134,2.81,0.738,2.07,8.49,0.1,0.078766,10,0.7811,0.3009,0.4802,98.8
Vologda Oblast,10,10,0.711328458,12.2,7.106606138,0.245901639,29,0.312,3,3,5,0.415627598,0.2771,0.9323,0.01218682,70.7,5.8,0,0,0,11,15,0.099540935,47,13.56,26,0.979,0,0,0,0.973,1.4798,139.988,4.941556705,12.03,2.48740353,0.17,2.956,0.765,1.82,10.75,0.2,0.149766,5.8,0.723,0.2888,0.4342,99.5
Voronezh Oblast,11,11,0.359622344,23.45,7.760040681,0.597014925,29,0.552,2,14,12,0.51369863,0.1852,0.5597,0.063889806,63.7,7.6,1,0,1,39,59,0.187148775,6,-27.44,29,1.656,1,0,1,0.955,0.9501,135.802,4.911197943,23.36,3.151025158,0.191,3.113,0.801,2.15,12.45,0.1,0.052382,7.6,0.8982,0.4233,0.4749,98.5
