REGION,ID,regionid,diffei.abs,population08,logpop08,protest.density08,petrovscore03,comp03,protestsum2007,protestsum2008,protests2011,protest.density,regionalsecond,competitive,nsdifference1103,urban2010,agemploy2010,KPRFleadership,KPRFViceSpeaker,KPRFcommittees,protestbin0711,protesttotal0711,percentmargin,govpop2010,govpopdiff,petrovdem,model2slope,fullfraudscore,samplefraudscore,dichfraud,RUSSIAN,GOVEMPLOY2010,INCOME2010,logincome,POPULATION2010,logpop,POVERTY2010,PENSION2010,INTERNET2010,HIGHERED2010,NEWSPAPER2010,CONCENTRATION2010,concentrationshort,AG2010,nonstandardei,standardei,diffei,TV2010
Moscow,12,12,0.437050585,111.87,9.322507669,0.482703138,31,0.41,24,54,41,0.35608824,0.133,0.4705,0.00898059,100,0,1,1,1,53,212,0.193536235,33,-0.44,26,1.202,0,0,0,0.917,0.682,438.757,6.083945729,115.14,4.746148779,0.1,2.262,0.985,4.1,59.07,0.2,0.022361,0,0.3692,0.4714,-0.1022,100
St. Petersburg,13,13,0.630601164,47.65,8.469052816,0.209863589,43,0.42,12,10,13,0.268096515,0.2308,0.8612,0.014234439,100,0,1,0,1,36,85,0.136452934,40,6.56,36,1.11,2,0,1,0.925,0.8085,245.938,5.505079472,48.49,3.881357591,0.087,2.756,0.96,3.58,55.73,0.2,0.05948,0,0.7039,0.3329,0.371,99.8
Jewish Autonomous Oblast,14,14,0.572037518,1.79,5.187385806,0.558659218,23,0.689,2,1,4,2.272727273,0.2013,0.7038,-0.001407714,67.6,12.3,0,0,0,10,10,0.14720801,36,2.56,21,1.136,2,2,1,0.927,2.1536,152.487,5.027079347,1.76,0.565313809,0.197,2.666,0.72,1.53,1.8,0.13,0.060513,12.3,0.6386,0.4669,0.1717,97.3
Zabaykalsky Krai,90,90,0.571507292,11.12,7.013915475,0.179856115,NA,NA,2,2,6,0.54200542,0.1341,0.586,NA,65.9,5.5,1,0,1,13,14,0.137719312,NA,NA,24,1.517,1,0,1,0.899,1.7459,140.699,4.946622857,11.07,2.404238747,0.193,2.487,0.768,1.59,2.71,0.1,0.029947,5.5,0.7225,0.4022,0.3203,99
Ivanovo Oblast,15,15,-0.048238055,10.81,6.985641818,0.46253469,27,0.839,4,5,8,0.753295669,0.1534,0.5504,0.064463121,81,5.4,1,0,1,21,37,0.09444762,37,3.56,25,1.348,1,1,1,0.956,1.2295,109.798,4.698642314,10.62,2.362739016,0.205,3.082,0.785,1.89,4.2,0.12,0.06207,5.4,0.755,0.3374,0.4176,100
Irkutsk Oblast,16,16,0.535294554,24.55,7.80588204,0.32586558,36,0.788,4,8,6,0.247015233,0.1507,0.6562,0.032586462,79.5,6.2,1,0,1,28,43,0.035531867,NA,NA,36,1.312,0,0,0,0.914,1.3715,149.654,5.008325963,24.29,3.190064743,0.184,2.957,0.811,2,7.43,0.1,0.04699,6.2,0.7267,0.3148,0.4119,100
Republic of Kabardino-Balkar,17,17,0.182600252,8.57,6.753437919,0.116686114,16,0.212,0,1,1,0.116414435,0.1226,0.2724,-0.024735866,54.5,20.6,1,0,1,4,4,0.630418305,NA,NA,16,0.989,3,2,1,0.225,1.0076,112.155,4.719881843,8.59,2.150598736,0.158,2.094,0.916,2.06,2.42,0.13,0.071504,20.6,0.842,0.818,0.024,99.3
Kaliningrad Oblast,18,18,0.557608057,9.35,6.840546529,0.962566845,35,0.772,5,9,10,1.062699256,0.214,0.8062,0.014608924,77.6,5.1,1,1,0,34,51,0.075142917,29,-4.44,32,0.898,0,0,0,0.864,1.5261,158.08,5.063101234,9.41,2.241772954,0.126,2.571,0.82,2.45,9.86,0.12,0.048395,5.1,0.5515,0.3617,0.1898,99.6
Kaluga Oblast,19,19,0.523711041,10.18,6.925595197,0.884086444,31,0.592,1,9,15,1.482213439,0.2117,0.6772,0.023392423,76.3,8.1,1,0,1,31,51,0.110961171,49,15.56,29,1.287,0,0,0,0.931,1.3534,153.418,5.033166222,10.12,2.314513664,0.114,2.951,0.733,2.19,7.54,0.2,0.112087,8.1,0.8556,0.3446,0.511,99
Kamchatka Krai,20,20,0.691582425,3.28,5.793013608,0.914634146,30,0.922,0,3,2,0.621118012,0.1977,0.7494,0.011107723,77.3,3.6,0,0,0,9,10,0.155679311,22,-11.44,29,0.916,2,2,1,0.859,2.5169,268.413,5.592526839,3.22,1.16938136,0.198,2.832,0.877,2.43,14.54,0.1,0.04155,3.6,0.763,0.4308,0.3322,99.5
Republic of Karachay-Cherkessia,21,21,-0.814594677,4.66,6.144185634,1.072961373,22,0.784,2,5,5,1.043841336,0.1165,0.4245,-0.046122609,42.3,23.6,1,0,1,16,17,0.765074743,NA,NA,22,0.734,3,2,1,0.316,1.4048,104.305,4.647319299,4.79,1.566530411,0.188,2.385,0.654,2.41,2.3,0.1,0.090056,23.6,0.4807,0.9069,-0.4262,98.3
Kemorovo Oblast,22,22,-0.089681653,27.8,7.930206207,0.251798561,25,0.072,2,7,11,0.398117988,0.0551,0.2072,0.021071861,85.4,3.2,0,0,0,34,52,0.388913653,80,46.56,21,1.424,1,1,1,0.937,0.9779,154.156,5.037965077,27.63,3.318902139,0.109,3.013,0.907,1.82,5.15,0.16,0.099296,3.2,0.7988,0.6251,0.1737,99.6
Kirov Oblast,23,23,-0.029891462,13.79,7.229113878,0.435097897,28,0.57,4,6,12,0.894854586,0.2235,0.8566,0.057211259,74,9.3,1,1,1,24,40,0.067917372,9,-24.44,26,1.07,2,1,1,0.919,1.3216,133.845,4.896682414,13.41,2.596000697,0.141,3.152,0.739,1.69,12.48,0.1,0.067354,9.3,0.6946,0.2997,0.3949,99.8
Kostroma Oblast,25,25,0.694349078,6.83,6.52649486,0.146412884,30,0.794,2,1,16,2.3988006,0.1957,0.6955,0.022356666,69.8,11,1,1,1,16,29,0.011948885,51,17.56,26,1.08,1,0,1,0.966,1.6808,126.555,4.840676996,6.67,1.89761986,0.173,3.107,0.764,1.81,52.59,0.13,0.080127,11,0.6826,0.2612,0.4214,99.4
Krasnodar Krai,26,26,-0.045490136,51.7,8.550627968,0.502901354,28,0.234,15,26,30,0.574052813,0.1499,0.4794,0.062309454,52.9,12.2,0,0,0,47,146,0.281731645,42,8.56,24,1.102,1,0,1,0.883,0.9162,166.478,5.114863169,52.26,3.95623126,0.156,2.775,0.877,2.05,7.58,0.1,0.049422,12.2,0.5801,0.5585,0.0216,99.4
Krasnoyarsk Krai,27,27,0.569795155,28.37,7.950502435,0.281988016,38,0.977,9,8,13,0.459688826,0.2366,0.868,0.016303939,76.3,4.2,0,0,0,30,47,0.06751308,39,5.56,38,1.248,0,1,0,0.913,1.4414,180.47,5.195564559,28.28,3.342154841,0.184,2.746,0.723,2.03,5.76,0.18,0.122869,4.2,0.6916,0.3434,0.3482,93.3
Kurgan Oblast,28,28,-0.085293149,9.34,6.839476438,1.177730193,24,0.789,7,11,11,1.207464325,0.2521,0.8398,0.043433124,60.3,8.8,0,0,0,41,60,0.147241932,20,-13.44,22,1.239,0,0,0,0.925,1.5673,136.006,4.912699002,9.11,2.209372711,0.168,3.103,0.895,1.5,4.8,0.1,0.05939,8.8,0.6662,0.4168,0.2494,100
Kursk Oblast,29,29,0.446417054,11.52,7.049254841,0.347222222,22,0.821,2,4,10,0.887311446,0.2154,0.7679,0.056589764,65.2,10.2,0,0,0,25,31,0.149074597,16,-17.44,20,1.378,0,0,0,0.965,1.4101,146.937,4.990003923,11.27,2.422144328,0.108,3.36,0.561,1.96,13.7,0.1,0.081817,10.2,0.8677,0.3889,0.4788,99
Leningrad Oblast,30,30,0.69687308,16.93,7.434257382,0.531600709,35,0.93,5,9,15,0.875656743,0.2793,0.9279,0.003122709,65.9,6.4,1,0,1,32,48,0.086998219,17,-16.44,31,1.147,0,0,0,0.927,0.9823,146.735,4.988628239,17.13,2.840831312,0.128,2.683,0.908,2.09,3.5,0.2,0.120532,6.4,0.5898,0.3081,0.2817,99.2
Lipetsk Oblast,31,31,0.656760338,11.87,7.079184395,0.50547599,26,0.403,3,6,4,0.341005968,0.2346,0.847,0.015889342,63.7,5.1,1,0,1,17,18,0.10609026,50,16.56,25,1.649,0,0,0,0.963,1.1686,158.04,5.062848166,11.73,2.462149663,0.1,3.201,0.789,2,5.09,0.23,0.205947,5.1,0.8627,0.3351,0.5276,99.5
Magadan Oblast,32,32,0.788764146,1.64,5.099866428,4.87804878,29,0.513,2,8,6,3.821656051,0.1597,0.6595,0.039603047,95.4,2.1,0,0,0,22,29,0.095975515,21,-12.44,28,0.816,2,2,1,0.841,3.7375,274.891,5.616374655,1.57,0.451075619,0.138,3.003,0.859,2.39,4.93,0.12,0.085291,2.1,0.6225,0.3793,0.2432,98.5
Moscow Oblast,33,33,0.506,68.95,8.83855179,0.130529369,34,0.934,2,9,15,0.211476103,0.2716,0.9165,0.019542792,80.1,2.6,1,1,1,28,48,0.041475891,57,23.56,24,1.166,2,1,1,0.929,0.8231,223.245,5.408269823,70.93,4.261693475,0.103,2.61,0.864,3.01,7.43,0.1,0.056612,2.6,0.7052,0.302,0.4032,98.5
Murmansk Oblast,34,34,0.694178136,8.15,6.703188113,0.736196319,31,0.167,4,6,7,0.879396985,0.2291,0.8967,0.011791185,92.8,0.7,1,0,1,23,30,0.060205024,NA,NA,30,0.941,1,2,1,0.89,1.4502,242.736,5.491974433,7.96,2.074429,0.13,3.108,0.847,2.22,8.17,0.11,0.05621,0.7,0.482,0.312,0.17,100
Nenets Autonomous Okrug,35,35,NA,0.42,3.737669618,0,27,NA,0,0,1,2.325581395,0.2051,0.7748,0.087103886,67.2,0.3,1,0,1,2,2,0.070567823,NA,NA,29,NA,0,0,0,0.661,3.2831,508.427,6.231321646,0.43,-0.84397007,0.079,2.814,0.822,1.59,3.45,0.63,0.603834,0.3,NA,NA,NA,NA
Nizhny Novgorod Oblast,36,36,0.506780148,33.63,8.120588712,0.208147487,40,0.964,3,7,7,0.211480363,0.2879,0.8581,0.045289283,78.9,3.1,1,1,0,27,32,0.100752612,36,2.56,34,1.365,1,0,1,0.951,1.1202,163.582,5.097314394,33.1,3.499533282,0.125,3.041,0.92,2.23,22.16,0.16,0.087621,3.1,0.7905,0.4021,0.3884,98.5
Novgorod Oblast,37,37,0.639248616,6.52,6.480044562,0.306748466,33,0.1,2,2,4,0.630914826,0.2718,0.9019,-0.005961105,70.6,9.3,0,0,0,11,11,0.086495497,27,-6.44,29,1.388,0,0,0,0.951,1.6121,155.82,5.048701495,6.34,1.846878768,0.149,3.176,0.898,1.87,14.86,0.1,0.120284,9.3,0.809,0.2965,0.5125,99.6
Novosibirsk Oblast,38,38,-0.076535416,26.43,7.879669915,0.605372683,38,NA,10,16,20,0.750187547,0.2503,0.8021,0.037758573,77.3,6,1,1,0,42,109,0.021584973,35,1.56,36,1.196,1,0,1,0.931,1.1471,160.901,5.080789269,26.66,3.283164315,0.167,2.768,0.754,2.33,9.06,0.1,0.041083,6,0.7547,0.2965,0.4582,99
Omsk Oblast,39,39,0.080945541,19.93,7.59739632,0.401404917,29,0.694,2,8,8,0.404653515,0.2611,0.8717,0.032526172,71.5,9.5,0,0,0,25,31,0.083056169,36,2.56,27,1.084,1,0,1,0.858,1.1365,150.701,5.015297741,19.77,2.984165637,0.143,2.742,0.721,1.97,8.58,0.18,0.147242,9.5,0.6416,0.3722,0.2694,100
Orenburg Oblast,40,40,0.710388301,20.56,7.628517627,0.243190661,29,NA,2,5,12,0.590260698,0.2144,0.7989,0.022735359,59.6,6.5,1,0,1,29,39,0.045789993,33,-0.44,27,1.324,1,0,1,0.759,1.1872,133.984,4.89772039,20.33,3.012097628,0.142,2.855,0.86,1.77,44.01,0.2,0.149485,6.5,0.6802,0.3209,0.3593,100
Oryol Oblast,41,41,0.546481887,8.05,6.690842277,0.621118012,24,0.101,3,5,4,0.508259212,0.3242,0.9187,0.006638168,65.5,12.7,0,0,0,18,22,0.04629548,5,-28.44,23,1.402,0,0,0,0.96,1.4666,130.173,4.868864335,7.87,2.063058062,0.149,3.347,0.714,2.12,5.65,0.13,0.061075,12.7,0.8399,0.3187,0.5212,100
Penza Oblast,42,42,0.399751906,14.05,7.247792582,0.925266904,27,0.955,2,13,19,1.370851371,0.1594,0.4832,0.023811355,67.1,8.8,0,0,0,42,80,0.246092977,41,7.56,25,1.279,0,0,0,0.868,1.1372,127.002,4.844202834,13.86,2.629006994,0.155,3.056,0.785,1.88,10.25,0.12,0.058509,8.8,0.7661,0.5387,0.2274,99.7
Perm Krai,43,43,-0.078512255,26.74,7.891330758,0.635751683,42,0.835,12,17,7,0.265553869,0.2014,0.8225,-7.37E-05,75,2.8,0,0,0,34,63,0.083269842,37,3.56,38,1.246,0,0,0,0.871,1.1463,194.223,5.269006983,26.36,3.27184771,0.138,2.878,0.814,1.66,12.89,0.15,0.095701,2.8,0.7401,0.3202,0.4199,98.7
Primorsky Krai,44,44,0.4172,19.77,7.589335823,1.264542236,28,0.559,8,25,15,0.766479305,0.2381,0.9016,0.013508355,76.1,4,0,0,0,43,87,0.049988875,28,-5.44,25,0.606,3,2,1,0.925,1.2371,173.468,5.155993144,19.57,2.973997781,0.163,2.682,0.803,2.18,7.36,0.1,0.033751,4,0.7454,0.2961,0.4493,100
Pskov Oblast,45,45,0.649961345,7,6.551080335,1,34,0.871,5,7,9,1.337295691,0.2477,0.8735,-0.001376529,70.2,6.9,0,0,0,26,35,0.067289318,9,-24.44,32,1.197,0,0,0,0.95,1.7783,126.976,4.843998092,6.73,1.906575144,0.158,3.128,0.835,1.83,11.27,0.13,0.054005,6.9,0.693,0.2978,0.3952,96.4
Republic of Adygea,46,46,-0.424035256,4.38,6.08221891,1.369863014,23,0.413,3,6,6,1.363636364,0.1876,0.6076,0.021269001,51,16.8,1,0,1,21,23,0.289325749,NA,NA,23,0.849,1,1,1,0.636,1.2802,122.356,4.806934828,4.4,1.481604541,0.161,2.748,0.88,2.08,3.62,0.1,0.069388,16.8,0.3752,0.6226,-0.2474,98.5
Republic of Altai,47,47,NA,2.03,5.313205979,1.97044335,27,0.922,1,4,2,0.970873786,0.2483,0.804,0.011578477,27.6,19.4,0,0,0,11,14,0.207124582,NA,NA,27,1.452,0,0,0,0.566,2.8534,133.992,4.897780097,2.06,0.722705983,0.179,2.566,0.836,1.87,1.46,0.12,0.087346,19.4,0.6596,0.5214,0.1382,100
Republic of Bashkortostan,48,48,-0.093925832,40.55,8.307705967,0.123304562,17,NA,2,5,6,0.147347741,0.0724,0.2147,-0.00104576,60.4,6,1,0,1,23,24,0.447886591,47,13.56,18,1.053,3,2,1,0.361,0.8491,176.774,5.174872081,40.72,3.706719372,0.12,2.593,0.947,1.7,11.63,0.14,0.071199,6,0.6971,0.7039,-0.0068,99.1
Republic of Buryatia,49,49,0.536478908,9.65,6.872128101,0.310880829,30,0.547,4,3,6,0.616649538,0.1281,0.4994,0.030298577,58.4,8.9,0,0,0,22,24,0.155216344,NA,NA,28,1.734,1,1,1,0.661,1.3366,139.975,4.941463835,9.73,2.275213896,0.198,2.5,0.808,2.1,3.6,0.1,0.039304,8.9,0.7734,0.4579,0.3155,98.9
Republic of Dagestan,50,50,0.117354211,27.88,7.933079772,0.107604017,24,NA,4,3,4,0.134318334,0.1368,0.4848,-0.005205158,45.3,14.8,1,0,1,16,19,0.823346925,NA,NA,23,0.67,4,4,1,0.036,0.7801,152.126,5.024709125,29.78,3.393837027,0.092,1.811,0.947,1.81,1.06,0.15,0.065407,14.8,0.8055,0.9079,-0.1024,97.3
Republic of Ingusethia,51,51,-0.575341716,4.07,6.008813185,0,17,0.86,0,0,0,0,0.0713,0.2903,-0.013892052,38.3,8.7,0,0,0,1,1,0.771692194,NA,NA,16,1.05,2,2,1,0.008,1.2595,95.957,4.563900174,4.13,1.418277407,0.222,1.807,0.718,1.64,0.46,0.1,0.095286,8.7,0.7131,0.9125,-0.1994,100
Republic of Kalmykia,52,52,-0.293819188,2.92,5.676753802,1.02739726,19,0.663,4,3,4,1.379310345,0.2263,0.6805,-0.008958963,44.1,31.4,0,0,0,15,15,0.299805979,NA,NA,20,1.214,1,1,1,0.302,2.2064,75.403,4.322847062,2.9,1.064710737,0.373,2.423,0.905,2.17,3.8,0.16,0.131491,31.4,0.6811,0.6586,0.0225,96.9
Republic of Karelia,53,53,0.735502424,6.59,6.490723535,1.062215478,39,0.606,1,7,5,0.775193798,0.2225,0.9213,0.004062161,78.1,4.5,0,0,0,17,26,0.070834364,16,-17.44,36,0.87,1,1,1,0.82,1.5263,158.512,5.0658303,6.45,1.864080131,0.152,3.586,0.937,1.93,10.1,0.1,0.046442,4.5,0.35,0.321,0.029,100
Republic of Komi,54,54,0.403048112,9.35,6.840546529,0.106951872,35,0.951,3,1,6,0.66518847,0.1606,0.6553,0.052925478,77,1.9,1,0,1,15,19,0.365348391,21,-12.44,31,0.93,0,0,0,0.651,1.6182,232.196,5.447581843,9.02,2.199444334,0.147,3.235,0.713,1.81,8.39,0.16,0.115973,1.9,0.6759,0.5783,0.0976,100
Republic of Mari El,55,55,0.248907718,7.05,6.558197803,0.567375887,27,0.96,1,4,4,0.574712644,0.1953,0.5498,0.048543529,63.1,13.4,0,0,0,12,14,0.218734078,49,15.56,23,1.609,0,0,0,0.474,1.1943,101.952,4.624502114,6.96,1.940179474,0.246,2.732,0.768,1.9,17.3,0.1,0.093837,13.4,0.8486,0.4729,0.3757,99.8
Republic of Mordovia,56,56,0.131956363,8.52,6.747586527,0.58685446,20,NA,4,5,5,0.598802395,0.0584,0.1483,-0.00447416,60.4,10.9,0,0,0,18,21,0.817634515,46,12.56,18,0.707,3,3,1,0.534,1.2946,110.553,4.705495044,8.35,2.122261539,0.19,2.976,0.807,2.08,5.12,0.13,0.092822,10.9,0.9987,0.9074,0.0913,99.6
Sakha (Yakutia) Republic,57,57,-0.313544089,9.59,6.865891075,0.417101147,28,0.715,1,4,8,0.835073069,0.1597,0.6417,0.012504942,64.1,3.2,1,1,1,22,36,0.215974773,NA,NA,24,1.32,1,1,1,0.378,1.6915,230.243,5.439135273,9.58,2.259677592,0.191,2.547,0.726,2.11,3.7,0.2,0.116489,3.2,0.6584,0.4732,0.1852,99.2
Republic of North Ossetia-Alania,58,58,NA,7.12,6.568077911,0.140449438,19,0.73,1,1,4,0.561009818,,0.3929,-0.020600689,63.8,18.5,0,0,0,15,16,0.405362227,NA,NA,18,1.205,3,1,1,0.208,1.2568,132.278,4.884905769,7.13,1.964311234,0.104,2.92,0.803,2.64,3.14,0.13,0.064065,18.5,0.8,0.6726,0.1274,98.3
Republic of Tatarstan,59,59,0.220614927,37.67,8.234034208,0.23891691,22,0.263,12,9,21,0.554675119,0.1115,0.3184,-0.009988792,75.4,5.1,0,0,0,44,101,0.550649373,69,35.56,22,0.969,3,2,1,0.397,0.8611,181.581,5.201701835,37.86,3.633895146,0.08,2.72,0.954,2.19,14.27,0.1,0.09151,5.1,0.933,0.7664,0.1666,99.5
Republic of Tyva,60,60,0.245884361,3.04,5.717027701,0.328947368,17,0.684,2,1,4,1.298701299,0.1022,0.3281,-0.00521017,53.1,6.5,0,0,0,9,9,0.659630637,NA,NA,17,0.865,2,2,1,0.163,2.0532,100.501,4.610167678,3.08,1.124929597,0.3,2.531,0.68,1.52,2.48,0.12,0.067343,6.5,0.9881,0.8372,0.1509,100
Republic of Khakassia,61,61,0.555330057,5.31,6.274762021,0.564971751,23,0.4227,3,3,5,0.939849624,0.1469,0.5736,0.041130153,67.3,5.9,1,0,1,14,17,0.093029644,20,-13.44,21,1.346,0,0,0,0.817,1.7332,127.758,4.850137849,5.32,1.671473303,0.185,2.668,0.916,1.82,5.22,0.1,0.066116,5.9,0.6104,0.3764,0.234,99.4
Rostov Oblast,62,62,0.504230826,42.98,8.365905077,0.255932992,26,0.291,6,11,13,0.303809301,0.1581,0.4393,0.007584989,67.2,11.6,0,0,0,40,76,0.187279856,23,-10.44,22,1.338,2,0,1,0.903,1.0711,145.028,4.976926827,42.79,3.75630443,0.151,2.89,0.789,2.16,18.01,0.12,0.062999,11.6,0.7772,0.4689,0.3083,98.2
Ryazan Oblast,63,63,0.615951578,11.75,7.069023427,0.340425532,28,NA,4,4,7,0.606585789,0.1901,0.6843,0.032906279,70.9,8.6,0,0,0,23,30,0.089189414,8,-25.44,28,1.566,0,0,0,0.951,1.3372,136.63,4.917276542,11.54,2.445819261,0.153,3.36,0.84,2,5.18,0.1,0.086397,8.6,0.8082,0.3346,0.4736,99.7
Samara Oblast,64,64,0.503015957,32.21,8.077447149,0.27941633,41,0.759,5,9,9,0.279850746,0.2257,0.823,0.019369301,80.2,3.2,0,0,0,38,82,0.091206375,33,-0.44,41,1.648,0,0,0,0.856,1.0179,202.791,5.312175892,32.16,3.470723444,0.151,2.874,0.887,2.37,7.37,0.1,0.065501,3.2,0.8069,0.3609,0.446,97.7
Saratov Oblast,65,65,-0.120186775,25.58,7.846980982,0.742767787,25,0.423,10,19,21,0.832672482,0.1419,0.5341,0.019140013,74.5,12.6,0,0,0,42,107,0.350866186,17,-16.44,25,1.338,2,0,1,0.876,1.0408,119.611,4.784244811,25.22,3.227637331,0.169,2.838,0.808,2.12,12.16,0.11,0.073912,12.6,0.8279,0.6276,0.2003,100
Sakhalin Oblast,66,66,0.6719512,5.1,6.234410726,1.176470588,32,0.651,4,6,4,0.803212851,0.2311,0.6785,0.032755516,79.7,1.1,0,0,0,15,18,0.09539624,29,-4.44,32,0.71,2,3,1,0.865,2.1874,310.779,5.739082049,4.98,1.605429891,0.109,3.221,0.851,1.95,4.95,0.4,0.323039,1.1,0.7021,0.3934,0.3087,100
Sverdlovsk Oblast,67,67,-0.0591,43.2,8.371010681,0.532407407,46,0.796,4,23,17,0.395532806,0.2731,0.8752,0.020667676,83.9,3,1,0,1,38,89,0.090142454,NA,NA,38,1.161,0,0,0,0.907,0.924,221.283,5.399442425,42.98,3.760734891,0.101,2.925,0.868,1.97,6.31,0.16,0.086801,3,0.7003,0.2973,0.403,99.4
Smolensk Oblast,68,68,0.597471482,10.09,6.91671502,0.297324083,28,0.939,3,3,3,0.304568528,0.1788,0.6661,0.010277532,72.7,7.2,0,0,0,15,15,0.06072416,21,-12.44,24,1.433,1,0,1,0.947,1.629,147.704,4.995210271,9.85,2.287471455,0.147,3.042,0.749,1.94,35.24,0.13,0.067019,7.2,0.8093,0.296,0.5133,98.7
Stavropol Krai,69,69,-0.02176701,27.6,7.922985959,0.18115942,26,0.904,5,5,5,0.179468772,0.1953,0.7057,0.042594461,57.2,12.4,1,0,1,16,20,0.169191712,19,-14.44,29,1.211,0,0,0,0.809,1.0071,129.129,4.860811905,27.86,3.327191968,0.188,2.542,0.936,2.06,6.37,0.12,0.042615,12.4,0.5565,0.483,0.0735,96.9
Tambov Oblast,71,71,-0.057257394,11.16,7.017506143,1.254480287,27,0.992,4,14,9,0.824175824,0.1824,0.5314,0.041325482,58.7,12.1,1,1,0,31,47,0.367393823,19,-14.44,25,1.264,2,0,1,0.97,1.2354,135.923,4.912088549,10.92,2.39059597,0.109,3.229,0.654,1.78,3.62,0.1,0.056911,12.1,0.8131,0.6405,0.1726,99.1
